Iteration 1,Iteration 2,H1 Weekly Bill [€],H2 Weekly Bill [€],H3 Weekly Bill [€],H4 Weekly Bill [€],H5 Weekly Bill [€],H6 Weekly Bill [€],H7 Weekly Bill [€],H8 Weekly Bill [€],H9 Weekly Bill [€],H10 Weekly Bill [€]
0,12,8.341170013566405,16.99381882549166,2.6389253411989553,7.0821838830285735,8.36568465403729,2.6222976720318276,8.418870997339528,2.6202779055801164,8.413333626316518,2.5956370814091376
1,12,8.341170013566405,16.99381882549166,2.6389253411989553,7.0821838830285735,8.36568465403729,2.6222976720318276,8.418870997339528,2.6202779055801164,8.413333626316518,2.5956370814091376
2,12,8.341170013566405,16.99381882549166,2.6389253411989553,7.0821838830285735,8.36568465403729,2.6222976720318276,8.418870997339528,2.6202779055801164,8.413333626316518,2.5956370814091376
3,12,8.341170013566405,16.99381882549166,2.6389253411989553,7.0821838830285735,8.36568465403729,2.6222976720318276,8.418870997339528,2.6202779055801164,8.413333626316518,2.5956370814091376
4,12,8.341170013566405,16.99381882549166,2.6389253411989553,7.082183883028577,8.36568465403729,2.6222976720318276,8.418870997339528,2.6202779055801164,8.413333626316518,2.5956370814091376
5,12,8.341170013566405,16.99381882549166,2.6389253411989553,7.082183883028577,8.36568465403729,2.6222976720318276,8.418870997339528,2.6202779055801164,8.413333626316518,2.5956370814091376
6,12,8.341170013566405,16.99381882549166,2.6389253411989553,7.0821838830285735,8.36568465403729,2.6222976720318276,8.418870997339528,2.6202779055801164,8.413333626316518,2.5956370814091376
7,12,8.341170013566405,16.99381882549166,2.6389253411989553,7.0821838830285735,8.36568465403729,2.6222976720318276,8.418870997339528,2.6202779055801164,8.413333626316518,2.5956370814091376
8,12,8.341170013566405,16.99381882549166,2.6389253411989553,7.082183883028577,8.36568465403729,2.6222976720318276,8.418870997339528,2.6202779055801164,8.413333626316518,2.5956370814091376
9,12,8.341170013566405,16.99381882549166,2.6389253411989553,7.082183883028577,8.36568465403729,2.6222976720318276,8.418870997339528,2.6202779055801164,8.413333626316518,2.5956370814091376
10,12,8.341170013566405,16.99381882549166,2.6389253411989553,7.082183883028577,8.36568465403729,2.6222976720318276,8.418870997339528,2.6202779055801164,8.413333626316518,2.5956370814091376
11,12,8.341170013566405,16.99381882549166,2.6389253411989553,7.082183883028577,8.36568465403729,2.6222976720318276,8.418870997339528,2.6202779055801164,8.413333626316518,2.5956370814091376
12,12,8.41333836515777,16.9938243405983,2.638925341197737,7.0821631634521305,8.365689829115514,2.6222976720254207,8.418874697522357,2.62027790557766,8.341171518347934,2.595637167005187
13,12,8.418877453154089,16.993828611146988,2.638925341196758,7.082146174226075,8.41333999881679,2.6222976720202738,8.365695758863453,2.620277905575687,8.34117357560296,2.5956375093969437
